,param_first_scale,param_frequency,param_model,param_model__alpha,param_second_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__n_components,nrmse
220,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,63.0,,0.9741240258493366
221,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,63.0,,1.0174274771226803
222,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,63.0,,0.9725604217322296
223,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,63.0,,0.9782748362955532
224,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,63.0,,1.0177354170304949
225,mad_scaling_clipping_channel_trial,functional_connectivity,PLSRegression(),,RobustScaler(),,,nan,,32.0,1.0441968850163115
226,passthrough,power_phase,Ridge,5.3366992312063015,RobustScaler(),,,nan,,,1.7619366959676253
227,mad_scaling_clipping_channel_trial,passthrough,Ridge,5.3366992312063015,RobustScaler(),,,nan,,,1.1734918027642365
228,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,5.3366992312063015,RobustScaler(),,,nan,,,1.0921745612772153
229,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,31.0,,0.9582429329325388
230,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,31.0,,0.9657620958278718
231,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,31.0,,1.000939804741639
232,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,31.0,,0.9597499408726009
233,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,31.0,,0.968599475893962
234,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,31.0,,1.0015804231008993
235,passthrough,passthrough,PLSRegression(),,RobustScaler(),,,nan,,4.0,1.0007158819134336
236,passthrough,power_phase,Ridge,4328.7612810830615,passthrough,,,nan,,,1.0546777430799543
237,mad_scaling_clipping_channel_trial,passthrough,Ridge,4328.7612810830615,passthrough,,,nan,,,1.0062035815407346
238,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,4328.7612810830615,passthrough,,,nan,,,1.0068610088163006
239,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,0.9584990261940702
240,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,0.9676642609307801
241,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,1.0026854131802678
242,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,0.9609310443445225
243,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,0.9681015086777044
244,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,1.0023530826625602
245,passthrough,passthrough,PLSRegression(),,passthrough,,,nan,,16.0,1.013845153732109
246,passthrough,power_phase,Ridge,3511191.7342151417,RobustScaler(),,,nan,,,1.2044409945457488
247,mad_scaling_clipping_channel_trial,passthrough,Ridge,3511191.7342151417,RobustScaler(),,,nan,,,0.9695933193885443
248,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,3511191.7342151417,RobustScaler(),,,nan,,,0.9985059974362488
249,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.2,31.0,,0.958359577479826
250,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.2,31.0,,0.9656012796163254
251,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.2,31.0,,1.0025555696750188
252,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.2,31.0,,0.9604302402283778
253,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.2,31.0,,0.9683184264771545
254,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.2,31.0,,1.0014116676173703
255,passthrough,power_phase,PLSRegression(),,RobustScaler(),,,nan,,4.0,0.989836661619691
256,passthrough,power_phase,Ridge,100000000.0,passthrough,,,nan,,,0.9982773959089988
257,mad_scaling_clipping_channel_trial,passthrough,Ridge,100000000.0,passthrough,,,nan,,,0.9867217267994264
258,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,100000000.0,passthrough,,,nan,,,1.0001642783641453
259,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,63.0,,0.9590876095252354
260,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,63.0,,0.9695204511747844
261,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,63.0,,1.0053677760320805
262,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,63.0,,0.961878428952125
263,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,63.0,,0.9704010409420099
264,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.2,63.0,,1.0071863821339453
265,passthrough,power_phase,PLSRegression(),,passthrough,,,nan,,8.0,0.9915295880541792
266,passthrough,power_phase,Ridge,0.18738174228603868,passthrough,,,nan,,,1.0692960590975666
267,mad_scaling_clipping_channel_trial,passthrough,Ridge,0.18738174228603868,passthrough,,,nan,,,1.1782686167842606
268,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,0.18738174228603868,passthrough,,,nan,,,1.0930895575257868
269,mad_scaling_clipping_channel_trial,functional_connectivity,ExtraTreesRegressor,,passthrough,,,0.1,,,1.0014635149529958
270,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,63.0,,0.9645521307941953
271,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,63.0,,0.9772858420731525
272,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,63.0,,1.0174274771226803
273,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,63.0,,0.9725604784003469
274,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,63.0,,0.9779800671132062
275,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.2,63.0,,1.0177354170304949
276,mad_scaling_clipping_channel_trial,functional_connectivity,PLSRegression(),,passthrough,,,nan,,32.0,1.0441968850163115
277,passthrough,passthrough,Ridge,3511191.7342151417,passthrough,,,nan,,,1.000237843102491
278,passthrough,functional_connectivity,Ridge,3511191.7342151417,passthrough,,,nan,,,0.9993640128340057
279,mad_scaling_clipping_channel_trial,power_phase,Ridge,3511191.7342151417,passthrough,,,nan,,,0.9897401890918955
280,mad_scaling_clipping_channel_trial,passthrough,ExtraTreesRegressor,,passthrough,,,0.05,,,0.9740029608829114
281,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,0.9585425548589881
282,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,0.9652300739873123
283,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,1.002780196800257
284,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,0.959853962150808
285,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,0.9680802320977442
286,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.2,31.0,,1.0024202558236253
287,mad_scaling_clipping_channel_trial,power_phase,PLSRegression(),,passthrough,,,nan,,4.0,0.9887116121577978
288,passthrough,power_phase,Ridge,2.848035868435805e-07,RobustScaler(),,,nan,,,2.286187698158145
289,mad_scaling_clipping_channel_trial,passthrough,Ridge,2.848035868435805e-07,RobustScaler(),,,nan,,,1.1788249810109406
290,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,2.848035868435805e-07,RobustScaler(),,,nan,,,1.092980544907653
