,param_first_scale,param_frequency,param_model,param_model__alpha,param_second_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__n_components,nrmse
110,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,2.848035868435805e-07,passthrough,,,nan,,,1.0932047870571302
111,mad_scaling_clipping_channel_trial,power_phase,ExtraTreesRegressor,,passthrough,,,0.05,,,0.978711802677786
112,passthrough,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.05,63.0,,0.9637094354809793
113,passthrough,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.05,63.0,,0.979553616965549
114,passthrough,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.05,63.0,,1.0177077338401177
115,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.05,63.0,,0.9711808841349845
116,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.05,63.0,,0.9759133881487403
117,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.05,63.0,,1.0160353855107562
118,mad_scaling_clipping_channel_trial,power_phase,PLSRegression(),,passthrough,,,nan,,32.0,1.1152240731585792
119,passthrough,power_phase,Ridge,123284.67394420685,RobustScaler(),,,nan,,,1.7277048147942942
120,mad_scaling_clipping_channel_trial,passthrough,Ridge,123284.67394420685,RobustScaler(),,,nan,,,0.9666124272875944
121,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,123284.67394420685,RobustScaler(),,,nan,,,1.0021037561940078
122,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.1,63.0,,0.9586041627589579
123,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.1,63.0,,0.9680117013977434
124,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.1,63.0,,1.0048152415721017
125,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.1,63.0,,0.9612329989573652
126,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.1,63.0,,0.9690368155513357
127,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.1,63.0,,1.0050432264894429
128,passthrough,passthrough,PLSRegression(),,RobustScaler(),,,nan,,32.0,1.1921985915107027
129,passthrough,passthrough,Ridge,0.0002310129700083158,RobustScaler(),,,nan,,,3.5526539625318447
130,passthrough,functional_connectivity,Ridge,0.0002310129700083158,RobustScaler(),,,nan,,,1.0927333650792224
131,mad_scaling_clipping_channel_trial,power_phase,Ridge,0.0002310129700083158,RobustScaler(),,,nan,,,1.190480562880735
132,passthrough,power_phase,ExtraTreesRegressor,,RobustScaler(),,,sqrt,,,0.9860361037250648
133,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,63.0,,0.9686912464397129
134,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,63.0,,0.9763163500557541
135,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,63.0,,1.014526670686759
136,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,63.0,,0.9720327210377335
137,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,63.0,,0.9782886338418864
138,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.1,63.0,,1.0171000063312714
139,passthrough,functional_connectivity,PLSRegression(),,RobustScaler(),,,nan,,8.0,1.0065091516109679
140,passthrough,passthrough,Ridge,0.18738174228603868,RobustScaler(),,,nan,,,3.24930657835642
141,passthrough,functional_connectivity,Ridge,0.18738174228603868,RobustScaler(),,,nan,,,1.093038003372633
142,mad_scaling_clipping_channel_trial,power_phase,Ridge,0.18738174228603868,RobustScaler(),,,nan,,,1.1897076093274406
143,passthrough,power_phase,ExtraTreesRegressor,,RobustScaler(),,,0.1,,,0.9772071097793564
144,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,63.0,,0.9670009439720536
145,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,63.0,,0.9734486658165231
146,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,63.0,,1.0158564199632858
147,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,63.0,,0.970104557203367
148,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,63.0,,0.9804322541324987
149,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.1,0.2,63.0,,1.0172969687205227
150,passthrough,functional_connectivity,PLSRegression(),,RobustScaler(),,,nan,,32.0,1.043888057213528
