,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_first_scale,param_frequency,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__loss,param_model__max_bins,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_reshape,param_second_scale,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,param_model__max_depth,nrmse_test,nrmse_train
0,7950.811486244202,0.0,11.402521848678589,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",0.001,0.02,squared_error,127,0.02,63,400,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_bins': 127, 'model__max_features': 0.02, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 400, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.09482647525966181,0.09482647525966181,0.0,1,0.641539361098804,0.641539361098804,0.0,,0.9514060777293459,0.5987158248294394
1,9507.895898103714,0.0,11.490644216537476,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",0.01,0.03,squared_error,32,0.01,127,200,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 0.01, 'model__learning_rate': 0.03, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 10, 'model__max_features': 0.01, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 200, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.0885635581387193,0.0885635581387193,0.0,2,0.8467555432828274,0.8467555432828274,0.0,10.0,0.9546918046475945,0.39146450249948916
0,5408.313971757889,0.0,8.707234621047974,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",0.001,0.1,squared_error,127,0.05,127,200,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_bins': 127, 'model__max_features': 0.05, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 200, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.05580937053337498,0.05580937053337498,0.0,2,0.8782066021562737,0.8782066021562737,0.0,,0.9716947203039775,0.34898910848868386
1,1613.1039962768555,0.0,7.929884672164917,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",0.1,0.02,squared_error,32,0.01,127,200,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 0.1, 'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 3, 'model__max_features': 0.01, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 200, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.08565331238101126,0.08565331238101126,0.0,1,0.18597914222957213,0.18597914222957213,0.0,3.0,0.9562147706551017,0.9022310445614404
0,9571.645463466644,0.0,8.295168161392212,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",0.01,0.05,squared_error,127,0.05,127,100,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 0.01, 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_bins': 127, 'model__max_features': 0.05, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 100, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.07672035563921609,0.07672035563921609,0.0,2,0.8742953640817878,0.8742953640817878,0.0,,0.9608744165398431,0.35454849586229
1,1895.0646061897278,0.0,7.774330139160156,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",1.0,0.03,squared_error,63,0.02,127,200,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 1.0, 'model__learning_rate': 0.03, 'model__loss': 'squared_error', 'model__max_bins': 63, 'model__max_depth': 3, 'model__max_features': 0.02, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 200, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.08767478793698114,0.08767478793698114,0.0,1,0.23485716147806635,0.23485716147806635,0.0,3.0,0.9551571661580197,0.8747244357635916
0,6266.597478151321,0.0,10.566011905670166,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",0.1,0.02,squared_error,127,0.05,31,400,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 0.1, 'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_bins': 127, 'model__max_features': 0.05, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 400, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.09208119618964328,0.09208119618964328,0.0,1,0.4752892230315655,0.4752892230315655,0.0,,0.9528477338013439,0.724369226961247
1,1127.429563999176,0.0,5.845730781555176,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",5.0,0.05,squared_error,63,0.02,127,200,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 5.0, 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_bins': 63, 'model__max_depth': 3, 'model__max_features': 0.02, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 200, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.08690993392526059,0.08690993392526059,0.0,2,0.21657261757792512,0.21657261757792512,0.0,3.0,0.9555574635126552,0.8851143329661286
0,5331.885023355484,0.0,5.355274200439453,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",0.0,0.05,squared_error,127,0.05,127,50,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 0.0, 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_bins': 127, 'model__max_features': 0.05, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 50, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.07902927916557745,0.07902927916557745,0.0,1,0.8765202950900589,0.8765202950900589,0.0,,0.9596721944676851,0.3513967912630124
1,2244.5487155914307,0.0,3.1722092628479004,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42)",1.0,0.1,squared_error,127,0.02,127,50,FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=2000,
                              n_iter_no_change=20, random_state=42), 'model__l2_regularization': 1.0, 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_bins': 127, 'model__max_features': 0.02, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 50, 'reshape': FunctionTransformer(func=<function reshape at 0x7f58a4c93e20>), 'second_scale': 'passthrough'}",0.05937253178280677,0.05937253178280677,0.0,2,0.8286780961063329,0.8286780961063329,0.0,,0.9698595095255772,0.41391050227515014
