,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_first_scale,param_frequency,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__loss,param_model__max_bins,param_model__max_depth,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_reshape,param_second_scale,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,nrmse_test,nrmse_train
0,34251.50996041298,0.0,102.64546704292297,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",50,0.05,squared_error,32,3,0.5,255,3200,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 50, 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 3, 'model__max_features': 0.5, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 3200, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.0802993803224521,0.0802993803224521,0.0,1,0.39876171161318985,0.39876171161318985,0.0,0.9590102291829571,0.7753955689754811
0,35657.22383260727,0.0,59.29192662239075,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",100,0.005,squared_error,63,6,1.0,255,9600,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 100, 'model__learning_rate': 0.005, 'model__loss': 'squared_error', 'model__max_bins': 63, 'model__max_depth': 6, 'model__max_features': 1.0, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 9600, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.0875876677841112,0.0875876677841112,0.0,1,0.2094938801300692,0.2094938801300692,0.0,0.9552027702094926,0.8891041108160117
0,21718.149020195007,0.0,56.232471227645874,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",400,0.03,squared_error,32,3,1.0,127,3200,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 400, 'model__learning_rate': 0.03, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 3, 'model__max_features': 1.0, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 3200, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.07929577924705888,0.07929577924705888,0.0,1,0.43841627939893646,0.43841627939893646,0.0,0.9595333348836512,0.7493888981036906
0,36360.717740774155,0.0,67.27034449577332,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",800,0.01,squared_error,63,None,0.5,255,9600,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 800, 'model__learning_rate': 0.01, 'model__loss': 'squared_error', 'model__max_bins': 63, 'model__max_depth': None, 'model__max_features': 0.5, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 9600, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08888406954464045,0.08888406954464045,0.0,1,0.2749696638436909,0.2749696638436909,0.0,0.9545239286971069,0.8514871321143432
0,10988.370092630386,0.0,49.424225091934204,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",50,0.05,squared_error,32,3,1.0,127,3200,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 50, 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 3, 'model__max_features': 1.0, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 3200, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08173063448437701,0.08173063448437701,0.0,1,0.3449393837869451,0.3449393837869451,0.0,0.9582637244076513,0.8093581507670475
0,35290.24234032631,0.0,56.91010880470276,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",400,0.0025,squared_error,63,None,1.0,255,9600,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 400, 'model__learning_rate': 0.0025, 'model__loss': 'squared_error', 'model__max_bins': 63, 'model__max_depth': None, 'model__max_features': 1.0, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 9600, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.0817311905984226,0.0817311905984226,0.0,1,0.15407962461820512,0.15407962461820512,0.0,0.9582634342400723,0.9197392975086989
0,35584.34020805359,0.0,60.835434913635254,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",400,0.0075,squared_error,63,6,1.0,127,9600,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 400, 'model__learning_rate': 0.0075, 'model__loss': 'squared_error', 'model__max_bins': 63, 'model__max_depth': 6, 'model__max_features': 1.0, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 9600, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08813600530989474,0.08813600530989474,0.0,1,0.24868576728553915,0.24868576728553915,0.0,0.9549157003055847,0.866783844285564
0,25901.15666127205,0.0,65.23487162590027,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",100,0.02,squared_error,32,6,1.0,511,3200,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 100, 'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 6, 'model__max_features': 1.0, 'model__max_leaf_nodes': 511, 'model__min_samples_leaf': 3200, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08138359888698843,0.08138359888698843,0.0,1,0.5418303112142357,0.5418303112142357,0.0,0.9584447825060198,0.6768823300882985
0,25336.964101076126,0.0,62.42161417007446,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",50,0.02,squared_error,32,3,1.0,511,1600,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 50, 'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 3, 'model__max_features': 1.0, 'model__max_leaf_nodes': 511, 'model__min_samples_leaf': 1600, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08119177271593148,0.08119177271593148,0.0,1,0.42678329150910754,0.42678329150910754,0.0,0.9585448488641878,0.7571107636871189
0,37119.894526958466,0.0,83.06915235519409,0.0,passthrough,power_phase_stft,"HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",50,0.03,squared_error,32,6,0.2,127,3200,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase_stft at 0x7fdb1d1ef9c0>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=10000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 50, 'model__learning_rate': 0.03, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 6, 'model__max_features': 0.2, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 3200, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.07292486295757683,0.07292486295757683,0.0,1,0.7149860340357539,0.7149860340357539,0.0,0.9628474110898482,0.5338669927652824
