,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_first_scale,param_frequency,param_model,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,param_reduce,param_reduce__n_components,param_reshape,param_second_scale,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,nrmse_test,nrmse_train
0,1015.1518793106079,0.0,13.766000509262085,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.003,"(16,)",0.0003,TruncatedSVD(random_state=42),2048,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.003, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 2048, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.018390743889778793,-0.018390743889778793,0.0,1,0.025463645939064694,0.025463645939064694,0.0,1.009153478857294,0.9871860787414576
0,198.81377124786377,0.0,2.2866392135620117,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.001,"(24,)",0.0003,TruncatedSVD(random_state=42),256,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (24,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 256, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.006985683980467394,-0.006985683980467394,0.0,1,0.011156982413302874,0.011156982413302874,0.0,1.003486763231318,0.9944058616011358
0,162.92014741897583,0.0,2.5997776985168457,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.0001,"(24,)",0.0003,TruncatedSVD(random_state=42),256,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (24,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 256, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.007504563344510551,-0.007504563344510551,0.0,1,0.011786402111295669,0.011786402111295669,0.0,1.003745268155477,0.9940893309399836
0,171.53286957740784,0.0,3.0531978607177734,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.0001,"(8,)",0.0003,TruncatedSVD(random_state=42),256,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (8,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 256, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.004526186332707738,-0.004526186332707738,0.0,1,0.00607827282126483,0.00607827282126483,0.0,1.00226053814999,0.9969562313254956
0,1090.2162294387817,0.0,13.803175210952759,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.0001,"(24,)",0.0003,TruncatedSVD(random_state=42),2048,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (24,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 2048, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.06674942692017205,-0.06674942692017205,0.0,1,0.039358037449308325,0.039358037449308325,0.0,1.0328356243469587,0.9801234425064486
0,1012.8628180027008,0.0,13.12182903289795,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.0001,"(32,)",0.0003,TruncatedSVD(random_state=42),2048,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 2048, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.08987842352624287,-0.08987842352624287,0.0,1,0.04751494264980638,0.04751494264980638,0.0,1.0439724246962863,0.9759534094157332
0,277.334668636322,0.0,3.6935505867004395,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.003,"(16,)",0.0003,TruncatedSVD(random_state=42),512,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.003, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 512, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.006928761490984314,-0.006928761490984314,0.0,1,0.012318231207683494,0.012318231207683494,0.0,1.0034584004785572,0.9938217993143019
0,506.86299753189087,0.0,7.346936464309692,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.003,"(16,)",0.0003,TruncatedSVD(random_state=42),1024,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.003, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 1024, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.009197539198056104,-0.009197539198056104,0.0,1,0.018918433478419927,0.018918433478419927,0.0,1.0045882436093188,0.9904956166089681
0,762.5316331386566,0.0,9.818848848342896,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.003,"(32,)",0.0003,TruncatedSVD(random_state=42),1536,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.003, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 1536, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.014508210849089709,-0.014508210849089709,0.0,1,0.028482721519664134,0.028482721519664134,0.0,1.007227983551435,0.9856557606387414
0,301.7008173465729,0.0,3.7323734760284424,0.0,passthrough,passthrough,"MLPRegressor(n_iter_no_change=20, random_state=42)",relu,0.0003,"(16,)",0.0003,TruncatedSVD(random_state=42),512,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': MLPRegressor(n_iter_no_change=20, random_state=42), 'model__activation': 'relu', 'model__alpha': 0.0003, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.0003, 'reduce': TruncatedSVD(random_state=42), 'reduce__n_components': 512, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",-0.008689154916754704,-0.008689154916754704,0.0,1,0.014019978875971506,0.014019978875971506,0.0,1.00433518056312,0.9929652668266038
