,param_first_scale,param_frequency,param_model,param_model__alpha,param_reshape,param_second_scale,param_model__max_features,param_model__l2_regularization,param_model__learning_rate,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_components,nrmse
10,passthrough,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,16.0,1.0033118887276418
11,passthrough,power_phase_temporal,Ridge,151.99110829529332,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.0659117869922587
12,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,0.0002310129700083158,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.3063733475080102
13,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,100000000.0,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,0.9842428552905114
14,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.0,0.05,63.0,20.0,,0.9595015599014742
15,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.0,0.1,63.0,20.0,,0.9681390113117144
16,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.001,0.05,63.0,20.0,,0.9599841234314724
17,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.0,0.05,63.0,20.0,,0.9643608314011479
18,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.0,0.1,63.0,20.0,,0.971493683468018
19,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.001,0.05,63.0,20.0,,0.9623622363159384
20,passthrough,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,8.0,0.9898613908447297
21,passthrough,power_phase_temporal,Ridge,0.0002310129700083158,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,4.696201121508851
22,passthrough,power_phase_temporal,Ridge,100000000.0,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.098295305472943
23,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,151.99110829529332,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.3611007442636398
24,mad_scaling_clipping_channel_trial,power_phase_temporal,ExtraTreesRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),sqrt,,,,,,0.9789650471948218
25,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.0,0.05,63.0,20.0,,0.9597633733763933
26,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.001,0.05,63.0,20.0,,0.9601963281674344
27,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.001,0.1,63.0,20.0,,0.9677352108867948
28,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.0,0.05,63.0,20.0,,0.9634517713552818
