,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_map,param_first_scale,param_frequency,param_model,param_model__alpha,param_reshape,param_second_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,nrmse
1,3202.5443086624146,0.0,6.0947535037994385,0.0,polynomial,passthrough,passthrough,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.001,0.05,0.2,63.0,20.0,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.05, 'model__max_features': 0.2, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.09316038132972282,0.09316038132972282,0.0,1,0.95228127077575
0,421.8767762184143,0.0,2.4460015296936035,0.0,polynomial,passthrough,passthrough,Ridge,1e-08,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,,,,,,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': Ridge(solver='lsqr'), 'model__alpha': 1e-08, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",-20.61307918086945,-20.61307918086945,0.0,2,4.648986898332738
1,1674.3281831741333,0.0,5.070627212524414,0.0,polynomial,passthrough,passthrough,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.001,0.05,0.05,31.0,20.0,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.05, 'model__max_features': 0.05, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.0929202291628769,0.0929202291628769,0.0,1,0.9524073555139749
0,53.48989748954773,0.0,2.6580350399017334,0.0,polynomial,passthrough,passthrough,Ridge,151.99110829529332,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,,,,,,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': Ridge(solver='lsqr'), 'model__alpha': 151.99110829529332, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",-0.0010464290624627726,-0.0010464290624627726,0.0,2,1.0005230777260776
1,3773.9261395931244,0.0,7.2909932136535645,0.0,polynomial,passthrough,passthrough,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.001,0.1,0.05,63.0,20.0,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.1, 'model__max_features': 0.05, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.0803155943395315,0.0803155943395315,0.0,1,0.9590017756294659
0,1154.615871667862,0.0,4.33051872253418,0.0,polynomial,passthrough,passthrough,Ridge,123284.67394420685,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),RobustScaler(copy=False),,,,,,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': Ridge(solver='lsqr'), 'model__alpha': 123284.67394420685, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': RobustScaler(copy=False)}",-2.318678046103351,-2.318678046103351,0.0,2,1.8217239214829868
1,3651.9842796325684,0.0,7.748220205307007,0.0,polynomial,passthrough,passthrough,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),RobustScaler(copy=False),0.001,0.1,0.1,63.0,20.0,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.1, 'model__max_features': 0.1, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': RobustScaler(copy=False)}",0.07475456933362257,0.07475456933362257,0.0,1,0.9618967879488826
0,2404.441272497177,0.0,5.757556438446045,0.0,polynomial,passthrough,passthrough,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.0,0.1,0.1,63.0,20.0,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.0, 'model__learning_rate': 0.1, 'model__max_features': 0.1, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.07366867139710964,0.07366867139710964,0.0,1,0.9624610790067775
1,1682.5628018379211,0.0,9.054028987884521,0.0,polynomial,passthrough,power_phase,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),passthrough,0.001,0.1,0.1,63.0,20.0,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': FunctionTransformer(func=<function power_phase at 0x7fb1ce0fb920>), 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.001, 'model__learning_rate': 0.1, 'model__max_features': 0.1, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': 'passthrough'}",0.0681232570677398,0.0681232570677398,0.0,2,0.9653376315736687
0,2750.1183772087097,0.0,7.310209274291992,0.0,polynomial,passthrough,passthrough,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7fb1ce140040>),RobustScaler(copy=False),0.0,0.1,0.1,63.0,20.0,"{'feature_map': FunctionTransformer(func=<function polynomial at 0x7fb1ce0fb420>), 'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=300,
                              n_iter_no_change=15, random_state=42,
                              scoring=None), 'model__l2_regularization': 0.0, 'model__learning_rate': 0.1, 'model__max_features': 0.1, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 20, 'reshape': FunctionTransformer(func=<function reshape at 0x7fb1ce140040>), 'second_scale': RobustScaler(copy=False)}",0.07591688286473752,0.07591688286473752,0.0,1,0.9612924202006705
