,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_first_scale,param_frequency,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__loss,param_model__max_bins,param_model__max_depth,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_reshape,param_second_scale,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,nrmse_test,nrmse_train
0,24315.464767932892,0.0,51.74518322944641,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",100.0,0.005,squared_error,32,2,0.01,255,400,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 100, 'model__learning_rate': 0.005, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 0.01, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 400, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08603451036494814,0.08603451036494814,0.0,1,0.17949466352796684,0.17949466352796684,0.0,0.9560154233248812,0.9058174962275972
0,32681.3412566185,0.0,80.0963659286499,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",10.0,0.01,squared_error,32,2,0.1,127,400,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 10, 'model__learning_rate': 0.01, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 0.1, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 400, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08737995890203987,0.08737995890203987,0.0,1,0.25516870638603995,0.25516870638603995,0.0,0.9553114890432126,0.8630360905628224
0,29593.542613506317,0.0,116.8515841960907,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",100.0,0.005,squared_error,32,2,0.01,127,400,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 100, 'model__learning_rate': 0.005, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 0.01, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 400, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08603451036494814,0.08603451036494814,0.0,1,0.17949466352796684,0.17949466352796684,0.0,0.9560154233248812,0.9058174962275972
0,24899.420863628387,0.0,88.23569202423096,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",1.0,0.0025,squared_error,32,2,0.1,127,100,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 1, 'model__learning_rate': 0.0025, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 0.1, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 100, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08099949510657778,0.08099949510657778,0.0,1,0.15130657796342317,0.15130657796342317,0.0,0.9586451402335602,0.9212455818274391
0,12737.370235443115,0.0,29.917166233062744,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",1.0,0.05,squared_error,32,2,1.0,127,100,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 1, 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 1.0, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 100, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.079115043700966,0.079115043700966,0.0,1,0.3144221046213139,0.3144221046213139,0.0,0.9596275091404133,0.8279963136262661
0,12116.588939666748,0.0,33.13652729988098,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",10.0,0.05,squared_error,32,2,0.01,255,1600,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 10, 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 0.01, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 1600, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.08440282986583059,0.08440282986583059,0.0,1,0.2937594772525781,0.2937594772525781,0.0,0.9568684184014903,0.8403811770544495
0,24219.70901298523,0.0,37.70506286621094,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",100.0,0.0025,squared_error,32,2,1.0,255,3200,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 100, 'model__learning_rate': 0.0025, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 1.0, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 3200, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.07883795196197207,0.07883795196197207,0.0,1,0.15056529843133748,0.15056529843133748,0.0,0.959771872914615,0.9216478186208995
0,14122.79053735733,0.0,34.94856381416321,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",10.0,0.02,squared_error,32,2,1.0,255,100,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 10, 'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 1.0, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 100, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.0842976943892606,0.0842976943892606,0.0,1,0.252033352367798,0.252033352367798,0.0,0.9569233540941194,0.8648506504779897
0,13069.311596393585,0.0,33.93042588233948,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",1.0,0.02,squared_error,32,2,0.01,255,400,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 1, 'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 0.01, 'model__max_leaf_nodes': 255, 'model__min_samples_leaf': 400, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.0865017246569415,0.0865017246569415,0.0,1,0.2107882163469771,0.2107882163469771,0.0,0.9557710370915508,0.8883759247373957
0,23778.137541294098,0.0,71.69003701210022,0.0,passthrough,passthrough,"HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error')",1.0,0.01,squared_error,32,2,1.0,127,400,FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>),passthrough,"{'first_scale': 'passthrough', 'frequency': 'passthrough', 'model': HistGradientBoostingRegressor(early_stopping=True, max_iter=20000,
                              n_iter_no_change=100, random_state=42,
                              scoring='neg_root_mean_squared_error'), 'model__l2_regularization': 1, 'model__learning_rate': 0.01, 'model__loss': 'squared_error', 'model__max_bins': 32, 'model__max_depth': 2, 'model__max_features': 1.0, 'model__max_leaf_nodes': 127, 'model__min_samples_leaf': 400, 'reshape': FunctionTransformer(func=<function reshape at 0x7fdb1d1c0360>), 'second_scale': 'passthrough'}",0.0844126522724089,0.0844126522724089,0.0,1,0.23342203529012007,0.23342203529012007,0.0,0.9568632858081614,0.875544381918975
