,param_frequency,param_model,param_model__alpha,param_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__n_components,nrmse
50,bandpower_canonical,HistGradientBoostingRegressor,,passthrough,0.0,0.1,0.05,63.0,,1.015178173658645
51,bandpower_canonical,HistGradientBoostingRegressor,,passthrough,0.001,0.1,0.05,63.0,,1.0132167122442635
52,power_phase,PLSRegression(),,passthrough,,,nan,,32.0,1.0991372427375221
53,passthrough,Ridge,151.99110829529332,mad_scaling_clipping_channel_time,,,nan,,,1.177038786201389
54,power_phase,Ridge,151.99110829529332,mad_scaling_clipping_channel_time,,,nan,,,1.1520623832904693
55,bandpower_canonical,Ridge,151.99110829529332,mad_scaling_clipping_channel_time,,,nan,,,1.0067201181415593
56,bandpower_canonical,ExtraTreesRegressor,,mad_scaling_clipping_channel_time,,,0.05,,,1.0007759122605269
57,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.2,31.0,,0.9637147247892432
58,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.2,31.0,,0.9629630632932724
59,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.2,31.0,,0.972486181995545
60,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.2,31.0,,0.9724858325871678
61,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.2,31.0,,1.012976300592471
62,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.2,31.0,,1.0140258814377028
63,bandpower_canonical,PLSRegression(),,mad_scaling_clipping_channel_time,,,nan,,16.0,1.0053480567766266
64,passthrough,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel_time,,,nan,,,1.2385079315750733
65,power_phase,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel_time,,,nan,,,1.145060946496054
66,bandpower_canonical,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel_time,,,nan,,,1.0095168018704948
67,passthrough,ExtraTreesRegressor,,mad_scaling_clipping_channel_time,,,0.1,,,0.9697249178355375
68,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.05,0.2,63.0,,0.9578191922704841
69,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.05,0.2,63.0,,0.957819054742651
70,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.05,0.2,63.0,,0.9706784421541098
71,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.05,0.2,63.0,,0.9695136608770456
72,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.05,0.2,63.0,,1.0071530337137649
73,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.05,0.2,63.0,,1.0081184851799143
74,power_phase,PLSRegression(),,mad_scaling_clipping_channel_time,,,nan,,8.0,0.9910301621428502
75,passthrough,Ridge,1e-08,passthrough,,,nan,,,4.253241266087058
76,power_phase,Ridge,1e-08,passthrough,,,nan,,,1.0716107110028381
77,bandpower_canonical,Ridge,1e-08,passthrough,,,nan,,,1.0050834916683513
78,passthrough,ExtraTreesRegressor,,passthrough,,,sqrt,,,0.980670603600705
79,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,0.9584358129052661
80,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.1,63.0,,0.957980960740618
81,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,0.9683267027357492
82,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.1,63.0,,0.9691850856790526
83,bandpower_canonical,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,63.0,,1.0047146483292169
84,bandpower_canonical,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.1,63.0,,1.0055417712362664
85,passthrough,PLSRegression(),,passthrough,,,nan,,32.0,1.1921985909750807
86,passthrough,Ridge,0.0002310129700083158,mad_scaling_clipping_channel_time,,,nan,,,1.2367736340710724
87,power_phase,Ridge,0.0002310129700083158,mad_scaling_clipping_channel_time,,,nan,,,1.1486371517064073
88,bandpower_canonical,Ridge,0.0002310129700083158,mad_scaling_clipping_channel_time,,,nan,,,1.009649065283468
89,power_phase,ExtraTreesRegressor,,mad_scaling_clipping_channel_time,,,sqrt,,,0.9855948601211191
90,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.05,31.0,,0.9624414178554216
91,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.05,31.0,,0.9623379144284773
92,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.05,31.0,,0.9744348898678687
93,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.05,31.0,,0.9728887920733406
94,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.05,31.0,,1.0114960638870452
95,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.05,31.0,,1.011495678745643
96,power_phase,PLSRegression(),,mad_scaling_clipping_channel_time,,,nan,,16.0,1.03013009560137
97,passthrough,Ridge,0.006579332246575682,mad_scaling_clipping_channel_trial,,,nan,,,1.180096238096318
98,power_phase,Ridge,0.006579332246575682,mad_scaling_clipping_channel_trial,,,nan,,,1.1800089414862873
99,bandpower_canonical,Ridge,0.006579332246575682,mad_scaling_clipping_channel_trial,,,nan,,,1.004772590801209
100,power_phase,ExtraTreesRegressor,,mad_scaling_clipping_channel_trial,,,0.05,,,0.9785959011656455
101,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.1,0.05,63.0,,0.9673841562266712
102,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.1,0.05,63.0,,0.9703802203601868
103,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.1,0.05,63.0,,0.9802017023604161
104,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.1,0.05,63.0,,0.9808626781815972
105,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.1,0.05,63.0,,1.0116098614289197
106,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.1,0.05,63.0,,1.0106708514763563
107,power_phase,PLSRegression(),,mad_scaling_clipping_channel_trial,,,nan,,32.0,1.1152240731585847
108,passthrough,Ridge,5.3366992312063015,mad_scaling_clipping_channel_time,,,nan,,,1.2269049477034883
109,power_phase,Ridge,5.3366992312063015,mad_scaling_clipping_channel_time,,,nan,,,1.1482217659450318
110,bandpower_canonical,Ridge,5.3366992312063015,mad_scaling_clipping_channel_time,,,nan,,,1.0095385365073872
111,bandpower_canonical,ExtraTreesRegressor,,mad_scaling_clipping_channel_time,,,sqrt,,,1.0006175475085919
112,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.1,63.0,,0.9688021207027863
113,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.1,63.0,,0.9694729872587053
114,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.1,63.0,,0.9793010920385082
115,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.1,63.0,,0.9782337742856806
116,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.0,0.1,0.1,63.0,,1.0162287239252394
117,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_time,0.001,0.1,0.1,63.0,,1.0139263575681836
118,bandpower_canonical,PLSRegression(),,mad_scaling_clipping_channel_time,,,nan,,8.0,1.003177087252549
119,passthrough,Ridge,3511191.7342151417,mad_scaling_clipping_channel_trial,,,nan,,,0.9672572450707339
120,power_phase,Ridge,3511191.7342151417,mad_scaling_clipping_channel_trial,,,nan,,,0.9897518068992706
121,bandpower_canonical,Ridge,3511191.7342151417,mad_scaling_clipping_channel_trial,,,nan,,,1.0001414781918618
122,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.05,63.0,,0.9622213971621472
123,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.05,63.0,,0.9616902710904761
124,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.05,63.0,,0.9703615390393919
125,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.05,63.0,,0.9698837001747944
126,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.05,63.0,,1.002032843036942
127,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.05,63.0,,1.0027327289187689
128,passthrough,PLSRegression(),,mad_scaling_clipping_channel_trial,,,nan,,8.0,0.966511712182975
129,passthrough,Ridge,2.848035868435805e-07,mad_scaling_clipping_channel_trial,,,nan,,,1.1786863559683147
130,power_phase,Ridge,2.848035868435805e-07,mad_scaling_clipping_channel_trial,,,nan,,,1.1767913720696384
131,bandpower_canonical,Ridge,2.848035868435805e-07,mad_scaling_clipping_channel_trial,,,nan,,,1.0047914141255163
132,passthrough,ExtraTreesRegressor,,mad_scaling_clipping_channel_trial,,,0.05,,,0.9738183190990334
133,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.2,31.0,,0.9599916163315013
134,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.2,31.0,,0.959296098825847
135,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.2,31.0,,0.9696643938382368
136,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.2,31.0,,0.9696642229959203
137,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.2,31.0,,1.0016416576796838
138,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.2,31.0,,1.0013235766558386
139,power_phase,PLSRegression(),,mad_scaling_clipping_channel_trial,,,nan,,4.0,0.9887116123508556
140,passthrough,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel_trial,,,nan,,,1.1806893918371497
141,power_phase,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel_trial,,,nan,,,1.1792839959431016
142,bandpower_canonical,Ridge,8.111308307896873e-06,mad_scaling_clipping_channel_trial,,,nan,,,1.0047738960124244
143,passthrough,ExtraTreesRegressor,,mad_scaling_clipping_channel_trial,,,0.1,,,0.9731794339161232
144,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.2,63.0,,0.9619278316886128
145,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.2,63.0,,0.9601154414993591
146,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.2,63.0,,0.9710917521666836
147,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.2,63.0,,0.9719679202680699
148,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.0,0.05,0.2,63.0,,1.0056797800879909
149,bandpower_canonical,HistGradientBoostingRegressor,,mad_scaling_clipping_channel_trial,0.001,0.05,0.2,63.0,,1.0054809835542589
150,power_phase,PLSRegression(),,mad_scaling_clipping_channel_trial,,,nan,,8.0,0.994784281761349
151,passthrough,Ridge,100000000.0,passthrough,,,nan,,,1.0002378500615667
152,power_phase,Ridge,100000000.0,passthrough,,,nan,,,0.9982774365300642
153,bandpower_canonical,Ridge,100000000.0,passthrough,,,nan,,,1.0002378504713156
154,passthrough,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,0.9580509279028597
155,passthrough,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.1,31.0,,0.9586183923069408
156,power_phase,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,0.9657776291888098
157,power_phase,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.1,31.0,,0.9653097704821553
158,bandpower_canonical,HistGradientBoostingRegressor,,passthrough,0.0,0.05,0.1,31.0,,1.00152627969494
159,bandpower_canonical,HistGradientBoostingRegressor,,passthrough,0.001,0.05,0.1,31.0,,1.0007647928682373
160,passthrough,PLSRegression(),,passthrough,,,nan,,16.0,1.013845153732109
161,passthrough,Ridge,151.99110829529332,mad_scaling_clipping_channel,,,nan,,,1.1765361759111626
162,power_phase,Ridge,151.99110829529332,mad_scaling_clipping_channel,,,nan,,,1.1432503252576414
163,bandpower_canonical,Ridge,151.99110829529332,mad_scaling_clipping_channel,,,nan,,,1.006629781283472
164,bandpower_canonical,ExtraTreesRegressor,,mad_scaling_clipping_channel,,,0.05,,,1.0006851003334796
165,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.1,0.2,31.0,,0.9626728309635525
166,passthrough,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.1,0.2,31.0,,0.9644984802435353
167,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.0,0.1,0.2,31.0,,0.9748286582881233
168,power_phase,HistGradientBoostingRegressor,,mad_scaling_clipping_channel,0.001,0.1,0.2,31.0,,0.9748281891615181
